Time(s),CH0,CH1,CH2
0.0,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0001,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0002,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.00030000000000000003,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0004,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0005,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0006000000000000001,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0007,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0008,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0009000000000000001,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.001,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0011,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0012000000000000001,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0013000000000000002,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0014,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0015,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0016,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0017000000000000001,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0018000000000000002,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0019,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.002,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0021000000000000003,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0022,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0023,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0024000000000000002,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0025,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0026000000000000003,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0027,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0028,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0029000000000000002,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.003,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0031000000000000003,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0032,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0033,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0034000000000000002,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0035,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0036000000000000003,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0037,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0038,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0039000000000000003,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.004,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0041,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.004200000000000001,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0043,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0044,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0045000000000000005,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0046,-10.067419052124023,-10.067419052124023,-10.067419052124023
0.0047,-10.067419052124023,-10.067419052124023,-10.067419052124023
